"id","components"
"files-form:match-columns-step:form:matching-terms","components/files-form/files-form.component.html"
"files-form:match-columns-step:form:fix-match-errors","components/files-form/files-form.component.html"
"files-form:match-columns-step:form:matching-errors-list","components/files-form/files-form.component.html"
"files-form:match-columns-step:instructions:occurrence","components/files-form/files-form.component.html"
"files-form:review-geometry:form:file-size-too-large-error","components/files-form/files-form.component.html"
"files-form:review-geometry:form:no-features-error","components/files-form/files-form.component.html"
"metadata-sections:endemic-info","components/metadata-sections/additional-info-section/additional-info-section.component.html"
"metadata-sections:endemic-tooltip","components/metadata-sections/additional-info-section/additional-info-section.component.html"
"metadata-sections:completeness:reason-for-no-completeness","components/metadata-sections/completeness-section/completeness-section.component.html"
"metadata-sections:license:license-holder","components/metadata-sections/license-section/license-section.component.html"
"metadata-sections:license:license-holder-hint","components/metadata-sections/license-section/license-section.component.html"
"metadata-sections:methods:inventories-compilations-both:inventories-option","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:inventories-compilations-both:compilation-option","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:inventories-compilations-both:both-option","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:restricted","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:open-search","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:opportunistic-search","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:trap","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:adventitious","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:incidental","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-inventory:hint","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:expert-knowledge","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:primary-literature","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:museum-specimens","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:other","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:placeholder","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:type-of-compilation:hint","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:compilation-effort","components/metadata-sections/methods-section/methods-section.component.html"
"low","components/metadata-sections/methods-section/methods-section.component.html"
"medium","components/metadata-sections/methods-section/methods-section.component.html"
"high","components/metadata-sections/methods-section/methods-section.component.html"
"metadata-sections:methods:compilation-effort:placeholder","components/metadata-sections/methods-section/methods-section.component.html"
"b60f58879a4f183015be1d1a2811e9c1023aae0c",""
"0bef1212fd895b43b0bf3c0231fbac7c14beda6e",""
"metdata-sections:permissions:dataset-private-alert","components/metadata-sections/permissions-section/permissions-section.component.html"
"metadata-sections:survey-protocol","components/metadata-sections/survey-protocol-section/survey-protocol-section.component.html"
"metadata-sections:survey-protocol:survey-methods:title","components/metadata-sections/survey-protocol-section/survey-protocol-section.component.html"
"metadata-sections:survey-protocol:survey-methods:tooltip","components/metadata-sections/survey-protocol-section/survey-protocol-section.component.html"
"metadata-sections:temporal-coverage:study-diurnality:diurnal","components/metadata-sections/temporal-coverage-section/temporal-coverage-section.component.html"
"metadata-sections:temporal-coverage:study-diurnality:nocturnal","components/metadata-sections/temporal-coverage-section/temporal-coverage-section.component.html"
"metadata-sections:temporal-coverage:study-diurnality:both","components/metadata-sections/temporal-coverage-section/temporal-coverage-section.component.html"
"permissions-modal-title","components/permissions-modal/permissions-modal.component.html"
"locations","components/display-dataset-overview/display-dataset-overview.component.html"
"dataset-overview:unique-site-counts","components/display-dataset-overview/display-dataset-overview.component.html"
"location","components/display-dataset-overview/display-dataset-overview.component.html"
"dataset-metdata-tab:uploaded-by","components/display-dataset-metadata/display-dataset-metadata.component.html"
"edit-metadata","components/display-dataset-metadata/display-dataset-metadata.component.html"
"all","components/display-dataset-map/display-dataset-map.component.html"
"region","components/display-dataset-map/display-dataset-map.component.html"
"feature","pages/dataset-detail-page/dataset-detail-page.component.html, components/feature-attributes-dialog/feature-attributes-dialog.component.html, components/display-dataset-map/display-dataset-map.component.html"
"number-of-species","components/display-dataset-map/display-dataset-map.component.html"
"dataset-map:color-by","components/display-dataset-map/display-dataset-map.component.html"
"less","components/display-dataset-map/display-dataset-map.component.html"
"more","components/display-dataset-map/display-dataset-map.component.html"
"metadata-instructions-dialog-instructions","components/metadata-instructions-dialog/metadata-instructions-dialog.component.html"
"close","components/metadata-instructions-dialog/metadata-instructions-dialog.component.html, components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:range-map-landing:title","components/range-map-landing-form/range-map-landing-form.component.html"
"metadata-sections:range-map-landing:title:tooltip","components/range-map-landing-form/range-map-landing-form.component.html"
"metadata-sections:range-map-landing:select-taxonomic-group","components/range-map-landing-form/range-map-landing-form.component.html"
"metadata-sections:range-map-landing:select-taxonomic-group:tooltip","components/range-map-landing-form/range-map-landing-form.component.html"
"start-drawing","components/range-map-landing-form/range-map-landing-form.component.html"
"metadata-sections:feature-attributes-dialog:description","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:presence","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:presence:tooltip","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:presence:option-extant","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:presence:option-possibly-extant","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:presence:option-possibly-extinct","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:origin","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:origin:tooltip","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:origin:native","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:origin:non-native","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:seasonality","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:seasonality:tooltip","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:seasonality:resident","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:seasonality:breeding","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:seasonality:non-breeding","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:seasonality:passage","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:temporal-scope","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"feature-attributes-dialog:temporal-scope:tooltip","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"year-yyyy","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"to","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"required","components/range-map-metadata-edit/range-map-metadata-edit.component.html, components/points-metadata-edit/points-metadata-edit.component.html, components/inventory-metadata-edit/inventory-metadata-edit.component.html, components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:subspecies","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:subspecies:tooltip","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:population","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:population:tooltip","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:source","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:geographic-coverage","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:geographic-coverage:tooltip","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:taxonomic-citation","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:taxonomic-citation:tooltip","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:marine-terrestrial","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:marine-terrestrial:tooltip","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:marine-terrestrial:marine-option","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"metadata-sections:feature-attributes-dialog:marine-terrestrial:terrestrial-option","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"notes","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"value","components/metadata-sections/custom-section/custom-section.component.html, components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"add-field","components/metadata-sections/custom-section/custom-section.component.html, components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"feature-attributes-dialog:custom","components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"submit-range-map","components/submit-range-map-modal/submit-range-map-modal.component.html, components/feature-attributes-dialog/feature-attributes-dialog.component.html"
"draw","components/range-map/range-map.component.html"
"edit","pages/range-map-draw-page/range-map-draw-page.component.html, components/range-map/range-map.component.html, components/display-dataset-metadata/display-dataset-metadata.component.html, components/display-dataset-features/display-dataset-features.component.html"
"review","components/range-map/range-map.component.html, components/files-form/files-form.component.html"
"scientific-name","components/display-dataset-features/display-dataset-features.component.html"
"common-name","components/display-dataset-features/display-dataset-features.component.html"
"date","components/display-dataset-features/display-dataset-features.component.html"
"display-dataset-acl:saving-dataset-info","components/display-dataset-acl/display-dataset-acl.component.html"
"display-dataset-acl:saving-dataset-error","components/display-dataset-acl/display-dataset-acl.component.html"
"display-dataset-acl:permissions-saved-success","components/display-dataset-acl/display-dataset-acl.component.html"
"field","components/metadata-sections/custom-section/custom-section.component.html"
"access-required","components/whitelist-request-link/whitelist-request-link.component.html"
"whitelist-request:info-alert","components/whitelist-request-link/whitelist-request-link.component.html"
"request-access","components/whitelist-request-link/whitelist-request-link.component.html"
"geograhic-coverage","components/metadata-sections/geographic-coverage-range-map-section/geographic-coverage-range-map-section.component.html"
"metadata-sections:geographic-coverage:geometry-processing","components/metadata-sections/geographic-coverage-range-map-section/geographic-coverage-range-map-section.component.html"
"metadata-sections:geographic-coverage:geometry-processing:tooltip","components/metadata-sections/geographic-coverage-range-map-section/geographic-coverage-range-map-section.component.html"
"countries","components/metadata-sections/geographic-coverage-range-map-section/geographic-coverage-range-map-section.component.html"
"metadata-sections:geographic-coverage:countries:tooltip","components/metadata-sections/geographic-coverage-range-map-section/geographic-coverage-range-map-section.component.html"
"geographic-scope","components/metadata-sections/geographic-coverage-range-map-section/geographic-coverage-range-map-section.component.html"
"metadata-sections:geographic-coverage:geographic-scope:tooltip","components/metadata-sections/geographic-coverage-range-map-section/geographic-coverage-range-map-section.component.html"
